#UBC_ID	Line_Name
ano_LS_02-2	LS_2-2
ano_LS_18-5	LS_18-5
ano_LS_20-3	LS_20-3
ano_LS_22-2	LS_22-2
ano_LS_23-1	LS_23-1
ano_LS_29-7	LS_29-7
ano_LS_30-5	LS_30-5
ano_W81_SNM_2013_50	W81_SNM_2013_50
ano_W84_SNM_2013_72	W84_SNM_2013_72
ano_W91_SNM_2013_93	W91_SNM_2013_93
ano_R1_SBF_2013_15	R1_SBF_2013_15
ano_R11_SBF_2013_49	R11_SBF_2013_49
ano_R13_SBF_2013_58	R13_SBF_2013_58
ano_R3_SBF_2013_21	R3_SBF_2013_21
ano_R4_SBF_2013_24	R4_SBF_2013_24
ano_R9_SBF_2013_38	R9_SBF_2013_38
ano_SBF2_2013_13	SBF2_2013_13
ano_SBF2_2013_17	SBF2_2013_17
ano_SBF2_2013_20	SBF2_2013_20
ano_SBF2_2013_6	SBF2_2013_6
ano_R36_HK24_2013_3	R36_HK24_2013_30
ano_HK24_10-4	HK24_10-4
ano_HK24_11-2	HK24_11-2
HK24_16_01_R_003	HK24_16_01_R_003
HK24_16_01_R_007	HK24_16_01_R_007
HK24_16_01_R_010	HK24_16_01_R_010
HK24_16_01_R_020	HK24_16_01_R_020
HK24_16_01_R_027	HK24_16_01_R_027
HK24_16_01_R_028	HK24_16_01_R_028
HK24_16_01_R_029	HK24_16_01_R_029
HK24_16_01_R_034	HK24_16_01_R_034
HK24_16_01_R_038	HK24_16_01_R_038
HK24_16_01_R_045	HK24_16_01_R_045
HK24_16_01_R_047	HK24_16_01_R_047
HK24_16_01_R_052	HK24_16_01_R_052
HK24_16_01_R_054	HK24_16_01_R_054
HK24_16_01_R_056	HK24_16_01_R_056
HK24_16_01_R_057	HK24_16_01_R_057
HK24_16_01_R_058	HK24_16_01_R_058
HK24_16_01_R_064	HK24_16_01_R_064
HK24_16_01_R_065	HK24_16_01_R_065
HK24_16_01_R_070	HK24_16_01_R_070
HK24_16_01_R_072	HK24_16_01_R_072
HK24_16_01_R_076	HK24_16_01_R_076
HK24_16_01_R_080	HK24_16_01_R_080
HK24_16_01_R_089	HK24_16_01_R_089
HK24_16_01_R_091	HK24_16_01_R_091
HK24_16_01_R_101	HK24_16_01_R_101
HK24_16_01_R_107	HK24_16_01_R_107
HK24_16_01_R_108	HK24_16_01_R_108
HK24_16_01_R_112	HK24_16_01_R_112
HK24_16_01_R_113	HK24_16_01_R_113
HK24_16_01_R_118	HK24_16_01_R_118
ano_HK24_24-2	HK24_24-2
ano_NHK_05-4	NHK_5-4
ano_NHKE_08-3	NHKE_8-3
ano_NHKG_09-4	NHKG_9-4
NHKG_16_01_R_122	NHKG_16_01_R_122
NHKG_16_01_R_124	NHKG_16_01_R_124
NHKG_16_01_R_139	NHKG_16_01_R_139
NHKG_16_01_R_140	NHKG_16_01_R_140
NHKG_16_01_R_144	NHKG_16_01_R_144
NHKG_16_01_R_147	NHKG_16_01_R_147
NHKG_16_01_R_153	NHKG_16_01_R_153
NHKG_16_01_R_158	NHKG_16_01_R_158
NHKG_16_01_R_161	NHKG_16_01_R_161
NHKG_16_01_R_162	NHKG_16_01_R_162
NHKG_16_01_R_165	NHKG_16_01_R_165
NHKG_16_01_R_166	NHKG_16_01_R_166
NHKG_16_01_R_167	NHKG_16_01_R_167
NHKG_16_01_R_171	NHKG_16_01_R_171
NHKG_16_01_R_175	NHKG_16_01_R_175
NHKG_16_01_R_177	NHKG_16_01_R_177
NHKG_16_01_R_178	NHKG_16_01_R_178
NHKG_16_01_R_181	NHKG_16_01_R_181
NHKG_16_01_R_183	NHKG_16_01_R_183
NHKG_16_01_R_186	NHKG_16_01_R_186
NHKG_16_01_R_189	NHKG_16_01_R_189
NHKG_16_01_R_190	NHKG_16_01_R_190
NHKG_16_01_R_193	NHKG_16_01_R_193
NHKG_16_01_R_196	NHKG_16_01_R_196
NHKG_16_01_R_201	NHKG_16_01_R_201
NHKG_16_01_R_204	NHKG_16_01_R_204
NHKG_16_01_R_205	NHKG_16_01_R_205
NHKG_16_01_R_209	NHKG_16_01_R_209
NHKG_16_01_R_211	NHKG_16_01_R_211
NHKG_16_01_R_213	NHKG_16_01_R_213
NHKG_16_01_R_215	NHKG_16_01_R_215
NHKG_16_01_R_217	NHKG_16_01_R_217
NHKG_16_01_R_223	NHKG_16_01_R_223
NHKG_16_01_R_224	NHKG_16_01_R_224
NHKG_16_01_R_225	NHKG_16_01_R_225
ano_NHKG_16-1	NHKG_16-1
ano_R16_NHKG_2013_22	R16_NHKG_2013_22
ano_R18_NHKG_2013_1-R-2	R18_NHKG_2013_1-R-2
ano_R21_NHKG_2013_2-R-6B	R21_NHKG_2013_2-R-6B
ano_R22_NHKG_2013_2-R-7	R22_NHKG_2013_2-R-7
ano_R23_NHKG_2013_2-R-10	R23_NHKG_2013_2-R-10
ano_R25_NHKG_2013_4-R-4	R25_NHKG_2013_4-R-4
ano_R29_NHKG_2013_4-R-26	R29_NHKG_2013_4-R-26
ano_R32_HK24_2013_1-R-6	R32_HK24_2013_1-R-6
ano_R38_HK24_2013_61	R38_HK24_2013_61
ano_R39_NHKE2_2013_1-R-4	R39_NHKE2_2013_1-R-4
ano_R42_NHKE4_2013_1-R-8	R42_NHKE4_2013_1-R-8
ano_R46_NHKE4_2013_5	R46_NHKE4_2013_5
ano_HK24_10-1	HK24_10-1
HK24_16_01_W_008	HK24_16_01_W_008
HK24_16_01_W_012	HK24_16_01_W_012
HK24_16_01_W_013	HK24_16_01_W_013
HK24_16_01_W_025	HK24_16_01_W_025
HK24_16_01_W_034	HK24_16_01_W_034
HK24_16_01_W_040	HK24_16_01_W_040
HK24_16_01_W_046	HK24_16_01_W_046
HK24_16_01_W_052	HK24_16_01_W_052
HK24_16_01_W_056	HK24_16_01_W_056
HK24_16_01_W_057	HK24_16_01_W_057
HK24_16_01_W_058	HK24_16_01_W_058
HK24_16_01_W_065	HK24_16_01_W_065
HK24_16_01_W_066	HK24_16_01_W_066
HK24_16_01_W_070	HK24_16_01_W_070
HK24_16_01_W_071	HK24_16_01_W_071
HK24_16_01_W_079	HK24_16_01_W_079
HK24_16_01_W_081	HK24_16_01_W_081
HK24_16_01_W_087	HK24_16_01_W_087
HK24_16_01_W_089	HK24_16_01_W_089
HK24_16_01_W_091	HK24_16_01_W_091
HK24_16_01_W_092	HK24_16_01_W_092
HK24_16_01_W_093	HK24_16_01_W_093
HK24_16_01_W_097	HK24_16_01_W_097
HK24_16_01_W_102	HK24_16_01_W_102
HK24_16_01_W_106	HK24_16_01_W_106
HK24_16_01_W_108	HK24_16_01_W_108
HK24_16_01_W_109	HK24_16_01_W_109
HK24_16_01_W_115	HK24_16_01_W_115
HK24_16_01_W_118	HK24_16_01_W_118
HK24_16_01_W_120	HK24_16_01_W_120
HK24_16_01_W_126	HK24_16_01_W_126
HK24_16_01_W_128	HK24_16_01_W_128
HK24_16_01_W_130	HK24_16_01_W_130
HK24_16_01_W_132	HK24_16_01_W_132
HK24_16_01_W_135	HK24_16_01_W_135
HK24_16_01_W_136	HK24_16_01_W_136
ano_NHKE_09-1	NHKE_9-1
NHKG_16_01_W_139	NHKG_16_01_W_139
NHKG_16_01_W_141	NHKG_16_01_W_141
NHKG_16_01_W_142	NHKG_16_01_W_142
NHKG_16_01_W_145	NHKG_16_01_W_145
NHKG_16_01_W_148	NHKG_16_01_W_148
NHKG_16_01_W_149	NHKG_16_01_W_149
NHKG_16_01_W_151	NHKG_16_01_W_151
NHKG_16_01_W_161	NHKG_16_01_W_161
NHKG_16_01_W_165	NHKG_16_01_W_165
NHKG_16_01_W_168	NHKG_16_01_W_168
NHKG_16_01_W_175	NHKG_16_01_W_175
NHKG_16_01_W_187	NHKG_16_01_W_187
NHKG_16_01_W_188	NHKG_16_01_W_188
NHKG_16_01_W_192	NHKG_16_01_W_192
NHKG_16_01_W_199	NHKG_16_01_W_199
NHKG_16_01_W_200	NHKG_16_01_W_200
NHKG_16_01_W_205	NHKG_16_01_W_205
NHKG_16_01_W_210	NHKG_16_01_W_210
NHKG_16_01_W_213	NHKG_16_01_W_213
NHKG_16_01_W_214	NHKG_16_01_W_214
NHKG_16_01_W_217	NHKG_16_01_W_217
NHKG_16_01_W_221	NHKG_16_01_W_221
NHKG_16_01_W_222	NHKG_16_01_W_222
NHKG_16_01_W_223	NHKG_16_01_W_223
NHKG_16_01_W_226	NHKG_16_01_W_226
NHKG_16_01_W_228	NHKG_16_01_W_228
NHKG_16_01_W_230	NHKG_16_01_W_230
ano_W50_NHKG_2013_1-W-6B	W50_NHKG_2013_1-W-6B
ano_W51_NHKG_2013_2-W-1	W51_NHKG_2013_2-W-1
ano_W54_NHKG_2013_2-W-4A	W54_NHKG_2013_2-W-4A
ano_W55_NHKG_2013_2-W-6	W55_NHKG_2013_2-W-6
ano_W58_NHKG_2013_4-W-8	W58_NHKG_2013_4-W-8
ano_W59_NHKG_2013_4-W-13	W59_NHKG_2013_4-W-13
ano_W62_HK24_2013_43	W62_HK24_2013_43
ano_W64_HK24_2013_79	W64_HK24_2013_79
ano_W65_HK24_2013_1-W-1	W65_HK24_2013_1-W-1
ano_W67_HK24_2013_1-W-5	W67_HK24_2013_1-W-5
ano_W68_NHKE4_2013_1-W-1	W68_NHKE4_2013_1-W-1
ano_W69_NHK_2013_3	W69_NHK_2013_3
ano_W70_NHK_2013_5	W70_NHK_2013_5
ano_W71_NHK_2013_8	W71_NHK_2013_8
